,Name,Online_order,Book_table,Rate,Dish_liked,Approx_cost(for 2 people)
28365,Rollin,Yes,No,4.0 out of 5,"Pizza, Dragon Chicken, Butter Chicken, Noodles, Chicken Wings, Chicken Noodle",400
28368,Rang De Basanthi,Yes,No,3.7 out of 5,"Bhindi Fry, Aloo Fry, Sweet Lassi, Paratha, Tawa Roti, Palak Paneer, Butter Chicken",400
28372,Daily Bread,No,No,2.7 out of 5,"Sandwiches, Sandwich, Coffee",600
28373,Pizza Stop,Yes,No,3.9 out of 5,"Garlic Bread, Pasta, Veggie Pizza, Salsa, Nachos, Nawabi Pizza, Sicilian Pizza",600
28382,WOW! Momo,Yes,No,3.9 out of 5,"Thukpa, Chocolate Momos, Schezwan Momos, Momos Burger, Burgers, Chicken Momo, Veg Momos",400
28383,The Black Pearl,No,Yes,4.7 out of 5,"Chocolate Lollipop, Chocolate Biscuit, Fire Shots, Sangria, Chocolate Ganache, Paneer Makhani, Corn Fry","1,400"
28384,Truffles,No,No,4.7 out of 5,"Burgers, Pasta, Cocktails, American Cheese Burger, Chicken Salad, Pancakes, Chocolate Dessert",900
28385,The Bier Library,Yes,Yes,4.3 out of 5,"Beer, Pizza, Mocktails, Pasta, Rasmalai, Cocktails, Brownie","2,000"
28386,Koramangala Social,Yes,No,4.6 out of 5,"Manchow Soup, Caramel Custard, Cocktails, Bbq Platter, Pork Ribs, Mocktails, Paratha","1,500"
28387,XOOX Brewmill,No,Yes,4.4 out of 5,"Cocktails, Apple Cider, Craft Beer, Burgers, Stout, Seafood Salad, Sabudana Vada","2,000"
28388,Gilly's Restobar,No,Yes,4.5 out of 5,"Thai Crispy Chicken, Mojito, Watermelon Martini, Chicken Biryani, Beef Fry, Cocktails, Calamari","1,000"
28389,Bombay Adda,No,Yes,4.4 out of 5,"Nachos, Cocktails, Nasi Goreng, Chicken Tikka, Pav Bhaji Fondue, Tiramisu, Samosa","1,100"
28390,Buff Buffet Buff,Yes,Yes,4.5 out of 5,"Egg Chilli, Butter Naan, Watermelon Juice, Chocolate Halwa, Fry Prawns, Mocktails, Salads","1,500"
28391,Boho,No,Yes,4.2 out of 5,"Barbecue Chicken Wings, Chilli Paneer, Cocktails, Chicken Steak, Sangria, Pizza, Spicy Chicken","1,200"
28392,The Reservoire,No,Yes,4.6 out of 5,"Cocktails, Bruschettas, Peppy Paneer Pizza, Beer, Caramel Custard, Peri Peri Wings, Wood Fire Pizza","1,300"
28393,Indigo XP,No,No,4.2 out of 5,"Pasta, Biryani, Cocktails, Mocktails, Pizza, Nachos, Blueberry Cheesecake","1,400"
28394,Ulavacharu,Yes,Yes,4.2 out of 5,"Ulavacharu, Biryani, Bangla Kodi, Rajugari Kodi Pulao, Curd Rice, Gadwal Kodi Pulao, Fish",900
28395,Sultans of Spice,Yes,Yes,4.5 out of 5,"Jeera Rice, Mutton Chops, Chicken Salad, Vegetable Biryani, Zafrani Mutton Biryani, Mutton Seekh, Mutton Roganjosh","1,300"
28396,Fenny's Lounge And Kitchen,No,Yes,4.6 out of 5,"Caramel Pudding, Cocktails, Pizza, Mocktails, Bbq Chicken, Veg Starter, Sea Food","1,600"
28397,Brooks and Bonds Brewery,Yes,Yes,4.5 out of 5,"Beef Chilli, Salad, Cocktails, Pizza, Craft Beer, Mango Cider, Potato Wedges","1,600"
28398,Sharief Bhai,No,Yes,4.4 out of 5,"Mutton Biryani, Nalli Nihari, Patthar Ka Gosht, Phirni, Fry Prawns, Lamb Chops, Paya Soup",700
28399,ECHOES Koramangala,No,No,4.7 out of 5,"Pasta, Mezze Platter, Momos, Pizza, Waffles, Chocolate Milkshake, Pancakes",750
28400,Dyu Art Cafe,No,No,4.5 out of 5,"Coffee, Chocolate Mocha, Hot Chocolate, Chocolate Cake, Sandwiches, Pizza, Bannoffee Pie",800
28401,House Of Commons,No,Yes,4.7 out of 5,"Cocktails, Chaap, Tandoori Chicken, Mocktails, Beer, Ghee Roast Mutton, Martini","1,000"
28402,Foxtrot - House of Subculture,No,Yes,4.4 out of 5,"Cocktails, Fish, Momos, Mocktails, Burgers, Pizza, Chicken Lollipop","1,000"
28403,Asia Kitchen By Mainland China,Yes,Yes,4.9 out of 5,"Chicken Dim Sum, Pad Thai Noodle, Jumbo Prawns, Cocktails, Prawn Sushi, Treasure Soup, Chocolate Roll","1,500"
28404,Barbeque Nation,No,Yes,4.7 out of 5,"Cocktails, Mutton Seekh, Tangdi Chicken, Mango Ice Cream, Biryani, Malai Kulfi, Fish","1,600"
28405,Chianti,No,Yes,4.7 out of 5,"Pasta, Tiramisu, Wine, Barbeque Chicken Pizza, Salads, Brownie Chocolate, Bruschettas","1,500"
28406,Drava,No,Yes,4.3 out of 5,"Cocktails, Veg Burger, Tikka, Beer, Pizza, Burgers, Spaghetti Aglio Olio","1,500"
28407,Roots,Yes,Yes,4.5 out of 5,"Kadhai Murgh, Coffee Toffee, Pasta, Tandoori Chicken, Dum Aloo, Tandoori Pomfret, Butter Chicken","1,200"
28408,The Boozy Griffin,No,Yes,4.6 out of 5,"Cocktails, Craft Beer, Salads, Devils Chicken, Sea Food, Mocktails, Wedges","1,800"
28409,Meghana Foods,Yes,No,4.4 out of 5,"Chicken Boneless Biryani, Egg Curry, Andhra Biryani, Hyderabadi Biryani, Paneer Biryani, Buttermilk, Sea Food",600
28410,Om Made Cafe,No,No,4.1 out of 5,"Margarita, Pasta, Mocktails, Lemonade, Bruschettas, Salads, Spaghetti","1,300"
28411,Gramin,Yes,No,4.3 out of 5,"Chaach, Bhindi Anardana, Thandai, Jal-jeera, Lunch Thali, Sweet Lassi, Crispy Babycorn",600
28412,Punjab Bistro,Yes,Yes,4.4 out of 5,"Chicken Shorba, Paneer Tikka Masala, Cocktails, Jumbo Prawns, Beer, Butter Naan, Paan Shot","1,500"
28413,Simon Says Brew Works,No,Yes,4.5 out of 5,"Beer, Onion Pakoda, Long Island Iced Tea, Peri Peri Chicken, Cocktails, Veg Platter, Stout","1,400"
28414,Bonsouth,Yes,Yes,4.2 out of 5,"Coconut Payassam, Seafood Soup, Fish, Filter Kaapi, Tender Coconut Payasam, Mutton Curry, Mysore Masala Dosa","1,300"
28415,By The Blue - Grand Mercure,No,Yes,4.1 out of 5,"Butter Naan, Mocktails, Cocktails, Sunday Brunch, Waffles, Gulab Jamun, Veg Platter","1,500"
28416,Happy Brew,No,Yes,4.0 out of 5,"Beer, Jalapeno Cheeseballs, Peri Peri Chicken Burger, Burgers, Nachos, Barbecue Chicken Wings, Cheesy Fries","1,000"
28417,Bathinda Junction,Yes,Yes,4.1 out of 5,"Butter Chicken, Kadhai Murgh, Rajma Chawal, Kadhai Paneer, Makke Ki Roti, Sweet Lassi, Dal Makhani",600
28418,Toscano,Yes,Yes,4.5 out of 5,"Pizza, Pasta, Cocktails, Spinach Ravioli, Tiramisu, Panna Cotta, Wine","1,500"
28419,Crawl Street,Yes,Yes,4.3 out of 5,"Biryani, Cocktails, Pasta, Peri Peri Chicken, Mocktails, Paneer Tikka Masala, Pizza","1,200"
28420,Nagarjuna,No,No,4.3 out of 5,"Andhra Meal, Chicken Pepper Dry, Andhra Thali, Chicken Biryani, Murgh Ghee Roast, Ghee Rice, Hyderabadi Biryani",800
28421,Zee5 Loft,Yes,No,4.4 out of 5,"Tomato Soup, Brownie Shake, Pizza, Salad, Fries, Chicken Bbq Wings, Pasta",500
28422,The Old Fashioned Bar,No,Yes,4.5 out of 5,"Cocktails, Long Island Iced Tea, Draught Beer, Masala Peanuts, Pizza, Mocktails, Chicken Tikka","1,000"
28423,Beer Adda,Yes,Yes,4.3 out of 5,"Sea Food, Burgers, Onion Rings, Non Veg Thali, Craft Beer, Roti, Pizza","1,000"
28424,Tim Tai,Yes,Yes,4.4 out of 5,"Noodles, Rice Paper Rolls, Prawn Dumplings, Vegetable Dimsums, Prawn Dim Sums, Rendang Chicken, Pad Thai","1,400"
28425,Blue Tokai Coffee Roasters,Yes,No,4.0 out of 5,"Coffee, Potato Wedges",400
28426,Sixth Avenue Cafe And Patisserie,No,No,4.4 out of 5,"Tea, Chocolate Bomb, Waffles, Peri Chicken, Fries, Pasta Alfredo, Mocktails",600
28427,Big Wong XL,No,Yes,4.5 out of 5,"Noodles, Manchow Soup, Sake, Veg Sushi, Virgin Pinacolada, Tempura Prawns, Sea Food","1,400"
28428,B-hive,No,Yes,4.3 out of 5,"Tandoori Chicken, Cocktails, Noodles, Paneer Tikka, Beer, Nachos, Pasta","1,200"
28429,Harry's Bar + Cafe,Yes,Yes,4.2 out of 5,"Cocktails, Beer, Onion Rings, Burgers, Margherita Pizza, Mocktails, Veg Nachos","1,400"
28430,A Hole Lotta Love Cafe,Yes,No,4.3 out of 5,"Burgers, Waffles, Pancakes, Chicken Lasagne, English Breakfast, Sandwiches, Pasta",600
28431,The Smoke Co.,Yes,Yes,4.4 out of 5,"Mysore Pak, Cocktails, Burgers, Pork Ribs, Fish, Mocktails, Beer","2,500"
28432,Kritunga Restaurant,No,No,3.8 out of 5,"Bamboo Chicken, Pot Biryani, Brain Fry, Hyderabadi Biryani, Brinjal Curry, Jowar Roti, Mutton Curry",650
28433,Barleyz,No,No,3.7 out of 5,"Tandoori Chicken, Fish Chilli, Cocktails, Pizza, Craft Beer, Chaat, Long Island Iced Tea","2,000"
28434,China Pearl,Yes,Yes,4.4 out of 5,"Noodles, Veg Momos, Chicken Soup, Chicken Dumplings, Meishan Tofu, Sea Food, Mocktails","1,100"
28435,Salt - Indian Restaurant Bar & Grill,Yes,Yes,4.4 out of 5,"Dahi Kebab, Lamb, Mocktails, Lassi, Vegetable Biryani, Galauti Kebab, Mutton Biryani","1,500"
28436,Bistro Claytopia,Yes,Yes,4.1 out of 5,"Burgers, Coffee, Cappuccino, Barbeque Burger, Sandwiches, Spinach Pasta, Sandwich",600
28437,Dice N Dine,Yes,Yes,4.3 out of 5,"Lasagne, Tiramisu, Chicken Popcorn, Mocktails, Club Chicken Sandwich, Nachos, Pasta",900
28438,Empire Restaurant,Yes,No,4.1 out of 5,"Brain Fry, Non Veg Thali, Peri Peri Chicken, Egg Biryani, Fruit Salad, Lassi, Jumbo Shawarma",750
28439,Chinita Real Mexican Food,No,No,4.5 out of 5,"Tacos, Churros, Nachos, Salad, Enchiladas, Burrito Bowl, Hot Chocolate","1,200"
28440,Cafe Thulp,Yes,No,4.1 out of 5,"Burgers, Fries, Pasta, Pork Chops, Chocolate Milkshake, Sandwiches, Waffles","1,000"
28441,Royal Treat,No,No,4.1 out of 5,"Dragon Chicken, Butter Chicken, Rolls, Mutton Biryani, Raita, Panneer Butter Masala, Tandoori Chicken",500
28443,Mr. Beans - Home Cafe,Yes,Yes,4.2 out of 5,"Coffee, Pasta, Salads, Tiramisu, Pizza, Waffles, Pancakes","1,000"
28444,Kobe Sizzlers,No,Yes,4.1 out of 5,"Sandwiches, Salads, Lamb, Ice Tea, Chicken Salad, Steak, Chicken Shashlik","1,000"
28445,YORK St.,Yes,No,4.4 out of 5,"Beef Steak, Custard, Burgers, Beef Stroganoff, Salad, Sandwich, Sandwiches",900
28446,Koshe Kosha,Yes,No,4.0 out of 5,"Fish, Kosha Mangsho, Chicken Curry, Luchi, Chingri Malaikari, Biryani, Bhetki Fry",600
28447,Kopper Kadai,Yes,Yes,4.1 out of 5,"Mutton Kalmi, Chicken Biryani, Dahi Ke Kebab, Lassi, Tomato Soup, Ganna Chicken, Soya Chaap","1,200"
28448,Fava Bistro,Yes,Yes,4.4 out of 5,"Pizza, Pita Bread, Beer Cocktail, Baklava, Shrimp Soup, Pasta, Babaganush","1,500"
28449,Roundup Cafe,Yes,Yes,4.2 out of 5,"Mocktails, Salad, Coffee, Pizza, Meat Balls, Hot Chocolate, Pasta",800
28450,Bamey's Restro Cafe,Yes,No,4.2 out of 5,"Momo Platter, Thali, Noodles, Chicken Sekuwa, Chicken Thukpa, Jhol Momos, Veg Momos",600
28451,What's In A Name,Yes,Yes,4.1 out of 5,"Cocktails, Chicken Nachos, Pizza, Peri Peri Fries, Hush Puppies, Beer, Tiramisu","1,200"
28452,Hungry Hippie,No,Yes,4.3 out of 5,"Butter Chicken Pizza, Lamb Burger, Chicken Bao, Vegetable Moussaka, Peri Chicken, Pasta, Pink Lemonade",800
28453,Noodle Panda,Yes,No,4.3 out of 5,"Noodles, Momos, Ramen Soup, Bubble Tea, Noodle, Onion Rings, Veg Dim Sums",800
28454,Nuts Over Salads Cafe,Yes,Yes,4.5 out of 5,"Salad, Salads, Peri Peri Chicken, Broccoli Soup, Burgers, Steak, Clear Soup",800
28455,Market Table,No,Yes,4.5 out of 5,"Salads, Healthy Breakfast, Quinoa Salad, Frittata, Pancakes, Smoothie Chocolate, Wheat Roll",900
28456,Mimansa @ Foxtrot,Yes,Yes,4.4 out of 5,"Pizza, Healthy Breakfast, Salads, Frittata, Salad, Carrot Halwa, Potato Fries","1,000"
28458,Baba Chatkora,Yes,No,4.2 out of 5,"Matka Lassi, Paneer Tikka, Chole, Shikanji, Onion Kulcha, Malai Chaap, Soya Chaap","1,000"
28459,Karama Restaurant,Yes,No,4.1 out of 5,"Mutton Mandi, Laccha Paratha, Chicken Curry, Tawa Chicken, Rabri, Raan, Biryani",750
28460,Bundar,No,No,4.1 out of 5,"Burgers, Cheese Burger, Mojito, Peri Peri Fries, Apple Pie, Tea, Peri Peri Chicken Wings",700
28461,Wok Paper Scissors,Yes,No,4.3 out of 5,"Noodles, Manchow Soup, Khau Suey, Chilli Chicken, Chaat, Cheesecake, Momos",550
28462,Carrots,Yes,Yes,4.1 out of 5,"Pizza, Pasta, Salads, Masala Chai, Soya Buttermilk, Burgers, Chocolate Icecreams","1,100"
28464,Magnolia,Yes,Yes,4.1 out of 5,"Noodles, Pinacolada, Mocktails, Salad, Thai Green Curry, Spicy Crabmeat Soup, Clear Soup",900
28465,Hunan,No,Yes,4.3 out of 5,"Noodles, Chicken Momo, Momos, Lunch Buffet, Garlic Butter Noodle, Crab Soup, Jasmine Tea","1,100"
28466,Anupam's Coast II Coast,Yes,No,4.1 out of 5,"Neer Dosa, Murgh Ghee Roast, Sea Food, Fish, Ghee Rice, Appam, Prawn Ghee Roast",700
28467,Tibetan Mother's Kitchen,Yes,No,4.0 out of 5,"Momos, Noodles, Thukpa, Honey Chilli Potatoes, Chicken Thupka, Pork Chilli, Crispy Honey Chicken",500
28469,Bhojohori Manna,Yes,No,4.1 out of 5,"Fish, Sea Food, Chingri Malai Curry, Mutton Kasha, Jumbo Ilish, Chingri Malaikari, Jumbo Prawns",650
28470,Indian Coffee House & Restaurant,No,No,4.2 out of 5,"Buttermilk, Chicken Dosa, Masala Dosa, Filter Coffee, Tea, Chicken Sandwich, Paneer Dosa",650
28471,Cafe D'hide,Yes,Yes,4.2 out of 5,"Pasta, Coffee, Buffalo Chicken Wings, Caesar Salad, Cheesy Fries, Mojito, Salads",600
28472,Oye Amritsar,Yes,Yes,4.0 out of 5,"Lassi, Raita, Dal Makhani, Jalebi Rabri, Chaach, Hara Bhara Kabab, Lime Soda",600
28473,Sathya's,No,Yes,4.1 out of 5,"Chicken Tikka, Egg Chilli, Masala Peanuts, Beer, Pepper Chicken, Chilli Chicken, Masala Papad","1,200"
28474,1722 Urban Bistro,Yes,Yes,4.1 out of 5,"Burgers, Pasta, Pizza, Biryani, Veg Burger, Chicken Burger, Chicken Lollipop",600
28475,Gudguda Prime Cafe,No,Yes,4.2 out of 5,"Mocktails, Pizza, Veg Platter, Brownie, Burgers, Pasta, Fries Basket",800
28476,The Local - Terrace Drinkery,No,No,4.0 out of 5,"Beer, Burgers, Sandwiches, Virgin Mojito, Beef Chilli, Pork Chilli, Chicken Nachos","1,000"
28478,Peace Restaurant,Yes,No,3.9 out of 5,"Momos, Thukpa, Dumplings, Crispy Chilli Potatoes, Beef Shaptak Dry, Chicken Momo, Fruit Beer",500
28479,Cafe Terra,Yes,No,4.1 out of 5,"English Breakfast, Waffles, Chocolate Cake, Frittata, Chicken Lasagne, Ginger Tea, Burgers",700
28480,Baba Da Dhaba,No,Yes,4.1 out of 5,"Dal Makhani, Phirni, Kheer, Chicken Butter Masala, Murgh Lababdar, Chicken Tikka, Paneer Tikka",650
28481,Hyderabad Biryaani House,Yes,No,4.1 out of 5,"Hyderabadi Biryani, Mutton Biryani, Tandoori Chicken, Mutton Fry, Chicken Biryani, Lassi, Crispy Babycorn",750
28482,The Himalayan,No,Yes,4.4 out of 5,"Mocktails, Kimchi, Sushi, Pork Bibimbap, Ginger Tea, Chicken Sizzler, Salads","1,200"
28483,Petoo,Yes,No,3.8 out of 5,"Chaat, Gulab Jamun, Biryani, Samosa",800
28485,Shanmukha,Yes,No,4.0 out of 5,"Chicken Dum Biryani, Kerala Parotta, Chicken Boneless Biryani, Vegetable Biryani, Naan, Fish, Gulab Jamun",800
28486,Beijing Bites,Yes,Yes,4.0 out of 5,"Noodles, Spring Roll, Dragon Chicken, Hunan Chicken, Lung Fung Soup, Prawn, Chop Suey",850
28487,Cafe Medley,Yes,No,4.2 out of 5,"Coffee, Burgers, Pasta, Sandwiches, Mudcake, Chicken Burger, Pizza",800
28489,52 Wall Street,No,No,3.9 out of 5,"Beer, Cocktails, Noodles, Buffalo Wings, Chilli Chicken, Pizza, Chicken Tikka","1,400"
28490,Bulls N Bears - Bar Trade Xchange,No,Yes,3.9 out of 5,"Pizza, Mango Cheesecake, Beer, Mocktails, Crispy Water Chestnuts, Cosmopolitan, Prawn","1,000"
28491,Waffle Magic,Yes,No,4.1 out of 5,Waffles,700
28492,Desipun,Yes,Yes,4.2 out of 5,"Paneer Tikka Masala, Buttermilk, Lassi, Soya Chaap, Aloo Paratha, Panneer Butter Masala, Stuffed Naan",700
28493,154 Breakfast Club,Yes,Yes,4.0 out of 5,"Pancakes, Waffles, Bbq Sandwich, Mushroom Ragout, Big Breakfast, Nutella Waffle, Omelette",900
28494,Lazeez,Yes,No,3.1 out of 5,"Biryani, Rolls, Firni, Chicken Roll, Mutton Pasanda, Mutton Rezala, Phirni",600
28495,Sharma's Malai & Masala,Yes,No,4.0 out of 5,"Chicken Biryani, Kulcha, Chicken Chatpata, Panneer Butter Masala, Paneer Lababdar, Tandoori Chicken, Shahi Paneer",650
28497,The Vacationer's Cafe,Yes,No,4.1 out of 5,"Nachos, Fries, Pasta, Sizzler Brownie, Masala Chai, Pizza, Burgers",600
28498,7 Plates,Yes,No,3.7 out of 5,"Butter Kulcha, Rolls, Brownie, Mutton Biryani, Butter Chicken, Shawarma, Rumali Roti",750
28499,Bistro Oui,Yes,Yes,4.1 out of 5,"Veg Burger, Pork Ribs, Pizza, Chicken Sandwich, Steak, Burgers, Mushroom Soup","1,200"
28501,Chung Wah,Yes,No,4.0 out of 5,"Noodles, Hunan Chicken, Momos, Spring Roll, Wonton Soup, Chicken Butter Garlic, Fried Rice Chicken",800
28502,Kargeens,Yes,No,4.1 out of 5,"Mocktails, Pasta Alfredo, Nachos, Veggie Pizza, Chicken Steak, Hot Chocolate, Noodles",600
28503,Rajdhani Thali Restaurant,Yes,Yes,4.0 out of 5,"Gatte Ki Subzi, Rabri, Dhokla, Rajasthani Thali, Jalebi, Daal Baati Churma, Aamras",900
28505,Tilt Gastro Lounge,No,Yes,4.1 out of 5,"Cocktails, Burgers, Pasta, Exotic Pizza, Long Island Iced Tea, Honey Chilli Potatoes, Nachos","1,500"
28506,Mustard Cafe,Yes,No,4.1 out of 5,"Mushroom Bruschettas, Mocktails, Blueberry Smoothie, Opera Cake, Beef Burger, Pasta Arrabiata, Burgers",800
28507,Drunkling - Sizzlers and Pub,Yes,Yes,4.4 out of 5,"Beef Steak, Cocktails, Mojito, Paneer Ke Sholay, Caramel Custard, Prawn Ghee Roast, Beer","1,000"
28508,Mani's Dum Biryani,Yes,No,3.9 out of 5,"Vegetable Biryani, Chicken Biryani, Raita, Chicken Kebab, Hyderabadi Biryani, Fish Biryani, Paneer Biryani",750
28509,JukeBox,No,Yes,3.9 out of 5,"Mutton Dhansak, Steak, Chips, Lasagne, Mashed Potato, Draught Beer, Beef Stroganoff","1,000"
28511,Meenu Oota Da Maane,Yes,Yes,4.2 out of 5,"Sea Food, Neer Dosa, Fish Curry, Chicken Thali, Crab Ghee Roast, Squid Ghee Roast, Murgh Ghee Roast",800
28512,Sukh Sagar,Yes,No,3.8 out of 5,"Pav Bhaji, Panneer Butter Masala, Deluxe Thali, Tea, Panipuri, Chaat, Masala Dosa",500
28513,Tunday Kababi,Yes,No,3.9 out of 5,"Biryani, Galauti Kebab, Tandoori Chicken, Phirni, Tundey Paratha, Rolls, Rumali Roti",500
28515,Barbeque Delight,Yes,No,3.8 out of 5,"Tandoori Chicken, Paratha",800
28517,Fabindia Cafe,No,No,4.2 out of 5,"Paneer Roll, Masala Chai, Masala Tea, Aloo Paratha, Chaat, Brownie Chocolate, Methi Paratha",200
28518,Smoke - The Sizzler House,Yes,Yes,4.0 out of 5,"Butter Garlic Prawns, Mocktails, Noodles, Salads, Brownie, Pasta Sizzler, Chicken Steak","1,100"
28519,China Bowl,Yes,No,3.9 out of 5,"Noodles, Roast Pork, Biryani, Manchow Soup, Pork Ribs, Butter Garlic Prawns, Crispy Honey Chilli Chicken","1,000"
28520,Zingron,Yes,No,4.0 out of 5,"Pork Ribs, Smoked Pork, Beef Pickle, Pork Meat, Wine, Pork Momo, Chilli Chicken",750
28521,Fresh Pressery Cafe,Yes,No,4.1 out of 5,"Salads, Chicken Sandwich, Spaghetti, Arugula Salad, Cheesecake, Cheese Chilli Toast, Pasta","1,200"
28522,Aalishan Restaurant & Caterer,Yes,No,3.5 out of 5,"Rolls, Tandoori Murgh Masala, Legendary Arsalan, Firni, Phirni, Mutton Biryani, Chicken Roll",650
28523,Aami Bangali,Yes,No,3.6 out of 5,"Basanti Pulao, Fish, Aloo Posto, Thali, Daab Chingri",700
28524,Dalma,Yes,No,3.9 out of 5,"Lassi, Mutton Kosha, Thali, Chicken Handi, Chicken Curry, Buttermilk, Rasgulla",600
28525,Gorilla Barfare,No,No,4.2 out of 5,"Cocktails, Dessert Pizza, Nachos, Beef Chilli, Long Island Iced Tea, Beer, Salsa","1,400"
28526,Over The Top Terrace Lounge,No,Yes,3.9 out of 5,"Nachos, Pasta, Cocktails, Khamiri Roti, Beer, Lamb, Burgers","1,400"
28528,Naati Manae,Yes,Yes,3.9 out of 5,"Chicken Chettinad, Donne Biryani, Chicken Guntur, Veg Thali, Gobi Tikka, Mutton Chops, Chicken Curry",700
28529,Sherlock's Pub,No,Yes,3.9 out of 5,"Mai Thai, Cocktails, Tiramisu Martini, Beer, Chilli Chicken, Beef Chilli, Long Island Iced Tea","1,300"
28530,Popsies,Yes,No,3.9 out of 5,"Momos, Chilli Chicken, Chicken Manchow Soup, Spicy Chicken Wings, Thukpa, Chicken Noodle, Tai Pai Chicken",750
28531,Punjabi Nawabi,Yes,No,4.0 out of 5,"Tikka, Dal Makhani, Saag, Naan, Makke Ki Roti",500
28532,Saara's Cafe - SS Lumina Hotel,No,Yes,4.2 out of 5,"Baklava, Mutton Biryani, Salad, Rice Pudding, Jeera Rice, Fish, Panneer Butter Masala",800
28534,Tandoor Hut,Yes,No,4.1 out of 5,"Biryani, Tandoori Chicken, Panneer Butter Masala, Naan, Mutton Roganjosh, Lassi, Chicken Tikka Masala",700
28535,Vitamin Palace,No,No,4.1 out of 5,"Watermelon Juice, Burgers, Pasta, Faluda, Fruit Salad, Coffee, Sandwich",650
28536,TRIGEREATO,Yes,Yes,4.4 out of 5,"Pasta, Salad, Mousse, Noodles, Fries, Mocktails, Pizza",700
28537,Tetto,Yes,No,3.7 out of 5,"Burgers, Cocktails, Mushroom Nuggets, Draught Beer, Fish Fingers","1,200"
28539,The Yogisthaan Cafe,Yes,No,4.1 out of 5,"Paratha, Chai, Poha, Quinoa Burger",600
28540,Go Italia,Yes,No,4.0 out of 5,"Pizza, Pasta, Garlic Bread, Veg Burger, Wine, Minestrone Soup, Chocolate Cake",750
28543,Smokey Tribe Restaurant,Yes,No,3.8 out of 5,"Beer, Mashed Potato, Pork Thali, Pork Curry, Smoked Pork, Veg Thali",650
28544,Jimi's Beer Cafe,No,No,3.8 out of 5,"Beer, Steak, Chilli Chicken, Burgers, Tandoori Chicken, Masala Peanuts, Fries","1,700"
28545,12th Main - Grand Mercure,No,Yes,4.1 out of 5,"Halwa, Waffles, Chaat, Pasta, Coffee, Creme Brulee, Salads","2,000"
28547,Bangaliana,Yes,No,3.9 out of 5,"Sea Food, Bhetki Paturi, Chicken Dak Bunglow, Prawn, Rasgulla, Potato Curry, Mishti Doi",600
28548,Chai Galli,Yes,No,4.4 out of 5,"Tea, Chai, Margherita Pizza, Sandwiches, Corn Sandwich, Paneer Parantha, Brownie",450
28549,Shree Thali,No,No,4.1 out of 5,"Veg Thali, Paratha, Kadhi, Shrikhand, Buttermilk, Sweet Lassi, Bati Churma",150
28550,Chai Point,No,No,4.0 out of 5,"Ginger Tea, Masala Tea, Banana Cake, Poha, Samosa, Vada Pav, Sandwiches",250
28551,Saara's Grill n Spice - SS Lumina Hotel,No,Yes,4.3 out of 5,"Baklava, Chicken Wings, Mutton Biryani, Pizza, Vegetable Biryani, Arabic Cuisine, Salad","1,000"
28552,Barbeque Station,Yes,No,2.8 out of 5,"Biryani, Butter Naan",700
28554,Little Lucknow,Yes,Yes,4.0 out of 5,"Shami Kebab, Kadhai Murgh, Butter Chicken, Chicken Biryani, Mughlai Paratha, Paneer Lababdar, Mughlai Chicken",800
28555,Mars Chicken Delight,No,No,3.7 out of 5,"Biryani, Pudina Chicken, Kalmi Kebab, Chicken Kebab, Chicken Delight, Butter Chicken, Chicken Roll",500
28556,Embers - Nandhana Grand Hotel,No,No,3.8 out of 5,Biryani,900
28559,Chaat Street,Yes,No,4.0 out of 5,"Pav Bhaji, Panipuri, Raj Kachori, Papdi Chaat, Samosa Chaat, Bhel Puri, Vada Pav",250
28560,Gam's Delicacy,Yes,Yes,4.2 out of 5,"Fish, Veg Thali, Bamboo Shoot Pork, Pork Fry, Kheer, Pork Thali, Clear Soup",800
28562,Namaste Kitchen,Yes,No,3.8 out of 5,"Jalebi, Chaat, Dal Makhani, Tandoori Roti",550
28563,Pingara,Yes,No,3.8 out of 5,"Sea Food, Beer, Fish Thali, Fish Fry, Chicken Tikka, Neer Dosa",600
28564,Hakka Chinese Restaurant,Yes,No,3.9 out of 5,"Manchow Soup, Momos, Chicken Hakka Noodles, Chilli Chicken, Roast Chicken, Thai Wings, Malaysian Noodles",600
28565,Mustard Food Court,Yes,No,3.6 out of 5,"Chicken Biryani, Chicken Wings, Chicken Curry, Kadhai Paneer, Butter Chicken, Noodles, Vegetable Biryani",500
28566,Cafemoto,Yes,No,4.0 out of 5,"Burgers, Chicken Burger, Beef Burger, Mojito, Tea, French Fries, White Sauce Pasta",800
28567,Hotel Tom's Restaurant,Yes,No,4.1 out of 5,"Neer Dosa, Prawn Curry, Pork Chilli, Biryani, Sea Food, Kori Roti, Chicken Curry","1,000"
28568,Punjabi Chulha,Yes,No,3.8 out of 5,"Tandoori Chicken, Dal Makhani, Butter Chicken, Roti, Veg Thali",500
28569,Banana Beach Bar,Yes,Yes,3.7 out of 5,"Chicken Wings, Cocktails, Mocktails, Chilli Chicken, Noodles, Burgers, Spring Roll","1,300"
28570,Bansuri Sweets,No,No,3.7 out of 5,"Thali, Dhokla, Chaat, Samosa, Panipuri, Jalebi, Pav Bhaji",250
28572,WTF,Yes,No,4.1 out of 5,"Cheesy Pizza, Cheese Pasta, Brownie Milkshake, Peri Peri Chicken, Nachos, Omelette, Peanut Butter Milkshake",600
28574,The Paramount Hotel,Yes,No,3.6 out of 5,"Chicken Grill, Biryani, Shawarma","1,000"
